,Amount raised,Campaign end date,Campaign target,Category,Notes,Platform,Project,Rank,References
28,"$16,516,286[57][58]","May 3, 2017",-,Blockchain,TokenCard is a depositless Ethereum-based mobile banking platform that aims to integrate the Ethereum Economy into the daily life of consumers globally.,Ethereum,TokenCard,29,
29,"$16,436,095[60]","May 31, 2016[59]",-,Blockchain,"Waves (stylised WAVES) is a non-permissioned, non-privatized blockchain that intends to deal with banks national currencies. It raised 2 million in 24 hours[59] and has a partnership with the Mycelium wallet.[61] It raised 29,636 bitcoins.[citation needed]",Independent,Waves platform,30,
30,"$15,664,829.30[62]","March 21, 2017.",-,Blockchain,"Qtum [pronounced Quantum] is a hybrid blockchain platform that runs the EVM on bitcoins core allowing smart contracts to exist in a mobile environment. Qtum Raised $15,664,829.30 in a crowd sale campaign[63] that sold out in 5 days. The campaign started March 16, 2017 and ended in 117 hours when it was sold out March 21, 2017.",hybrid blockchain platform,Qtum,31,
31,"$14,700,000","June 7, 2017",56565 ETH ($~14.8M),Blockchain,"A distributed VC ecosystem. Cofound.it is a distributed global platform that connects exceptional startups, experts and investors worldwide. It will first be built by the blockchain community for the blockchain community — and then for the whole world.[citation needed]",Ethereum,Cofound.it,32,
32,"$13,285,226[64]","Aug 29, 2014",$50K,Computing hardware,"Portable 60 quart cooler designed by Ryan Grepper that contains a battery powered rechargeable blender, waterproof Bluetooth speaker, USB charger, cutting board, plates, among other features.[65]",Kickstarter,Coolest Cooler,33,
33,"$13,289,097[66]","Apr 19, 2015",$70K,Food,"Flow Hive is a new type of domesticated bee hive box with a valve, where the beekeeper can extract honey from the hive without disturbing the bees.",Indiegogo,Flow Hive,34,
34,"$12,814,196[67]","Aug 21, 2013",$32M,Computing hardware,"The Ubuntu Edge was a proposed ""high concept"" smartphone announced by Canonical Ltd. on 22 July 2013.",Indiegogo,Ubuntu Edge,35,
35,"$12,658,636",Ongoing,$1M,Video game,"Richard Garriott returns to the fantasy RPG genre.[68] Of the total amount, $1,919,275 was raised on Kickstarter.[69]","Kickstarter, Independent, Steam Early Access",Shroud of the Avatar: Forsaken Virtues,36,
36,"$12,500,000[70]","Apr 24, 2017",$12.5M,Other,,Ethereum,Gnosis,37,
37,"$12,393,139[71]","January 7, 2017",-,Board game,"A massive cooperative board game about survival in a nightmare-horror world. Original Kickstarter campaign that raised $2,049,721 was surpassed in 2 hours.[72]",Kickstarter,Kingdom Death: Monster 1.5,38,
38,"$12,158,963","April 19, 2017","10,000 BTC",Other,,Ethereum,iEx.ec,39,
39,"$10,682,516.42","Sep 29, 2016",2000 BTC ($~1.2M),Other,ICONOMI Digital Assets Management platform enables simple access to a variety of digital assets and combined Digital Asset Arrays.[citation needed],Ethereum,ICONOMI Digital Assets Management platform,40,
40,"$10,271,965[citation needed]",Ongoing,$20K,Other,"The campaign was launched on July 7, 2015.[73] By August 2015, BauBax had raised $3.7 million and was the most funded clothing project in Kickstarter history.[74] By September 11, 2015, it had raised $9.7 million.[75] The Travel Jacket comes with 15 unique features including a built-in Neck Pillow, Eye Mask, Gloves, Earphone Holders, Drink Pocket and Tech Pockets of all sizes. Available in four styles: hoodie/sweatshirt, fleece lined bomber, wrinkle free blazer with removable hoodie, and a windbreaker.","Kickstarter, Indiegogo",BauBax,41,
41,"$10,266,845[76]","May 18, 2012",$100K,Smartwatch,E-Paper smartwatch. Third highest funded project on Kickstarter.[citation needed] Shipping to backers began on 23 Jan 2013.,Kickstarter,Pebble,42,
0,"$8,782,571[78]","Feb 19, 2015",$10K[77],Board game,"Card game featuring exploding kittens, designed by Elan Lee, Matthew Inman, and Shane Small.[79] The project hit its primary goal in only 8 minutes, exceeded $100,000 (10x its goal) in less than one hour, $1,000,000 (100x its goal) in less than 8 hours, and $2,000,000 (200x its goal) in just over 24 hours.  By January 28, 2015, it passed 107,000 backers, making it the most backed Kickstarter to date.[79]",Kickstarter,Exploding Kittens,43,
1,"$8,600,000[80]","Nov 11, 2016",$8.6M,Blockchain,"Distributed, open sourced, supercomputer built on the Ethereum network. Made up of a global sharing economy network of computers that 'rent' out their computing power. Project hit its goal in 29 minutes.","Ethereum, Independent",Golem,44,
2,"$8,596,474[81]","Aug 9, 2012",$950K,Video game,Android-based video game console.  Industrial design by Yves Béhar.  Highest funded video game project entirely funded on Kickstarter.  Development units began shipping in March 2013.  Officially released in June 2013.,Kickstarter,Ouya,45,
3,"$8,148,450[82]","Mar 27, 2015",$2M,Other,Real estate,Companisto,Gut Weißenhaus,46,
4,"$7,063,329[83]","Sep 1, 2018",$2M,Video game,"$6,333,295 was raised on Kickstarter, making Shenmue III the highest-funded video game project in Kickstarter history.","Kickstarter, Independent",Shenmue III,47,
5,"$6,267,767.32[84][85]","Sep 26, 2016","$5,500,000",Software,"FirstBlood is the first decentralized app, built on top of Ethereum, that allows eSports enthusiasts to compete in their favorite games through a decentralized, automated platform. The FirstBlood Token (""1SŦ""), sold during its crowdsale, is a utility token that can be used on FirstBlood's decentralized software. The campaign raised over $5 million in less than five minutes.[86]",Ethereum,FirstBlood Crowdsale,48,
6,"$6,225,354[87]","Apr 15, 2014",$800K,Computing hardware,Digital music player using the FLAC audio file format under development by musician Neil Young and his company Pono Music.,Kickstarter,Pono Music,49,
7,"$6,132,554[citation needed]","Jul 4, 2014",$6M,Other,"Super PAC founded by Lawrence Lessig with the purpose of pushing for a United States Congress dedicated to reforming campaign finance laws by 2016. The crowdfunding round took place in two cycles. The first $1M goal was started on May 1, and was reached on May 13,[88] and the second, $5M goal was started on June 4 and was reached on July 4, at 9:30 pm EST - 9 hours short of the deadline of 6 am, July 5, EST (or midnight in Hawaii.)[89] After the crowdfunding deadline, Mayday PAC raised an additional $4M from large donors. As of May 22, 2016, Mayday PAC is the largest crowdfunding campaign for non-profit purposes.[citation needed]",Independent,Mayday PAC,50,
8,"$6,100,000[90]","Feb 28, 2019",$6m,"Blockchain, Wearables",Community-driven augmented reality project. Has since launched an eshop for advanced eyewear. Developing blockchain apps for augmented reality.,Ethereum,Lucyd,51,
9,"$6,038,945[91]","Oct 19, 2016[91]",$15K[91],Other,A desk toy designed to help users focus.[92],Kickstarter,Fidget Cube,52,
10,"$5,702,153[93]","Apr 13, 2013",$2M,Movie,Feature-length film continuation of the Veronica Mars television series.,Kickstarter,Veronica Mars,53,
11,"$5,700,000[94]","Mar 21, 2016",-,Software,"Lisk is a crypto-currency and decentralized application platform. As a crypto-currency it provides a decentralized payment system and digital money network. The Lisk decentralized application platform allows the deployment, distribution and monetisation of decentralized applications and custom blockchains (sidechains) onto the Lisk blockchain.","Bitcoin, Independent",Lisk,54,
12,"$5,545,991[95]","Jun 12, 2015","$500,000",Video game,"Metroidvania video game, by former Castlevania producer Koji Igarashi. Succeeded Torment: Tides of Numenera as the highest funded Kickstarter video game, was succeeded by Shenmue III in July 2015.[95]",Kickstarter,Bloodstained: Ritual of the Night,55,
13,"$5,500,000[third-party source needed]","Mar 30, 2016",$500K,Blockchain,DigixDAO crowdsale offered DGD tokens where each DGD token entitles you to an apportioned return on DGX (first gold standard token on the Ethereum platform) transactional volume in the form of DGX tokens. The DGD token holder also gets a pledging say on the projects built around the DGX transactional system and there's a majority rule applied to release funds for business expenses paid to peripherals. The sale concluded in a mere 12 hours as the maximum was reached.,Ethereum,DigixDAO Crowdsale,56,
14,"$5,489,376[citation needed]",Ongoing,$70K,Software,Website builder that uses Artificial intelligence algorithms to design and build websites based on content.[96],Independent,The Grid,57,
15,"$5,408,916[97]","Jul 2, 2014",$1M,Movie,"Make the iPad version of Reading Rainbow available on the web, other mobile devices, game consoles, and set-top boxes. In addition, create a classroom version and provide subscriptions for up to 7,500 disadvantaged classrooms for free.",Kickstarter,"Project Bring Back Reading Rainbow for Every Child, Everywhere",58,
16,"$5,302,338",Ongoing,$900k,Video Game,"Epic Story MMORPG survival game with aging and perma-death.  Fully destructible, evolving world with non-repeatable quests.","Kickstarter, Independent",Chronicles of Elyria,59,[98]
17,"$5,133,000[third-party source needed]","October 1, 2015",none,Blockchain,"An open-source, decentralized prediction market built using Blockchain technology. The project seeks to leverage the Wisdom of Crowds (also known as ""collective intelligence"") — and the open, global, peer-to-peer, distributed ledger functionality that blockchain technology provides — to generate better forecasts about any future event involving any major topic of widespread interest.","Ethereum, Independent",Augur,60,
18,"$5,048,213[99]","May 22, 2015",$8M[99],Other,"Restore Martin Luther King Jr. International Chapel, the only religious building named after Dr. King located at Morehouse College.",Indiegogo,Restore King Chapel Now. Every Day & Dollar Counts,61,
19,"$5,024,281[100]","Dec 15, 2014[100]",$5M,Other,Every student in every school should have the opportunity to learn computer science at Code.org.[citation needed],Indiegogo,An Hour of Code for Every Student,62,
20,"$5,000,000[101]","Sep 1, 2013",-,Software,Mastercoin is a digital currency and communications protocol built on the Bitcoin block chain. It is one of several efforts to enable complex financial functions in a cryptocurrency.,"Bitcoin, Independent",Mastercoin,63,
0,"€4,809,548[102]",29 Dec 2016,$20k[102],Watch,"Mechanical watch. Became the most crowdfunded timepiece in history with the first campaign raising 926'960 EUR. The second Kickstarter campaign beat the record again, raising 4,809,548 EUR.","Kickstarter, Independent",Filippo Loreti,64,[103][104]
1,"$4,782,227[105]",13 May 2016,$4.5M[105],Video game,"Fantasy role-playing video game. Succeeded Project Eternity as the highest funded Kickstarter video game. It raised $4,188,927 on Kickstarter. Including private backers, the project's developers said they had enough to reach their goal of $4.5M. InXile's second Kickstarter project, after Wasteland 2 in April 2012.","Kickstarter, Independent",Torment: Tides of Numenera,65,[106][107][105]
2,"$4,701,421",18 Oct. 2016,,Blockchain,"Decentralized computation and hosting platform, allowing Web-Application to exist without centralized servers. Synereo raised over $4.7M, selling AMPs, the organization's native cryptocurrency, as well as shares of Synereo LTD.","BnktotheFuture, independent",Synereo,66,[108][109]
3,"$4,573,569[110]","Dec 12, 2015","$125,000",Other,"Carry-on smart luggage with a built-in tablet stand, charging station, two USB ports, a 23,000 mAh battery pack, a location tracker and a wireless proximity tracker. In the first day of the funding campaign, G-RO raised $360,000 in pledges, nearly three times its initial $125,000 goal.","Indiegogo, Kickstarter",G-RO,67,[111]
4,"$4,500,000","Sep, 2016",,Blockchain,The Chinese Ethereum as it is commonly known. It functions as a decentralized smart contract system. Was also backed by big names like Microsoft and Alibab[112],Ethereum,Neo,68,
5,"$4,445,180","Apr 25, 2015",$2M,Movie,Sequel to the 2002 movie Super Troopers. Funding still in progress.,Indiegogo,Super Troopers 2,69,[113]
6,"$4,407,598[114]","Feb 24, 2017",$1.1M,Video Game,Sequel to Pillars of Eternity.,Fig,Pillars of Eternity II: Deadfire,70,
7,$4.2M,"Ongoing (planned to end Jun 9, 2017)",$3.5M,Blockchain,Funds earned from the ZrCoin crowdsale will be used to a fund zirconium dioxide plant in Russia,"WAVES, Independent",ZrCoin,71,[115]
8,"$4,046,579","Oct 1, 2013",$900K,Video game,"Sci-fi action/platform video game. Including private backers, the project raised over $4M.",Kickstarter,Mighty No. 9,72,[116]
9,"$3,986,929","Oct 16, 2012",$1.1M,Video game,"Fantasy role-playing video game. Succeeded Double Fine Adventure as the highest funded Kickstarter video game.  Was succeeded by Torment: Tides of Numenera in April 2013.  Including private backers, the project raised over $4.5M.","Kickstarter, Independent",Pillars of Eternity,73,[117][118][119]
10,"$3,829,024[120]","Jan 12, 2016",$3.3M,Video Game,Sequel to Psychonauts (2005),Fig,Psychonauts 2,74,[121]
11,"$3,576,22","August 16, 2015",$75k,Computing hardware,"World's most advanced, small size Drone featuring a Camera, live streaming video and micro gimbal. Extreme Fliers is founded by Vernon Kerswell, a London-based robotics startup.",Indiegogo,Micro Drone 3.0,75,[122]
12,"$3,429,235","Aug 25, 2012",$30K,Board game,"Miniature figures by Reaper Miniatures with various miniature lines: Dark Heaven Legends, Pathfinder, Warlord, Legendary Encounters, Chronoscope, Savage Worlds, Bones, Legon of Justice, Master Series, Collect, Combat Assault Vehicle, Robot Supply Depot, The Boneyard",Kickstarter,Reaper Miniatures Bones,76,[123]
13,"$3,401,361","May 7, 2014",$50K,3D printing,"Consumer 3D printer supporting PLA or ABS, as well as proprietary Micro filament spools or standard 1.75 mm filament spools.",Kickstarter,The Micro,77,[124]
14,"$3,390,551","Mar 31, 2014",$260K,Computing hardware,,Kickstarter,The Dash,78,[125]
15,"$3,336,371","Mar 13, 2012",$400K,Video game,"Point-and-click adventure game by Tim Schafer, designer of Full Throttle and Grim Fandango.  Accompanied by a 2 Player Productions documentary.  87,142 backers, the most backers until surpassed by the Veronica Mars Movie Project in April 2013.  Highest funded Kickstarter project until surpassed by the Pebble smartwatch in April 2012.  Highest funded Kickstarter video game until surpassed by Project Eternity in October 2012.  Credited with bringing in 60,000 first time backers on the Kickstarter platform, increasing the viability of crowdfunding in video games.",Kickstarter,Double Fine Adventure(Subsequently renamed to Broken Age),79,[126][127][128][129]
16,"$3,327,757","Feb 11, 2015",$80K,Board game,"Miniatures board game based on the works of Robert E. Howard, in which players take on the roles of Conan the Barbarian and his heroic companions.",Kickstarter,Conan,80,[130]
17,"$3,169,610","Oct 26, 2013",$30K,Board game,"Continue expanding the Reaper's Bones line by Reaper Miniatures that was previously funded on Aug 25, 2012.",Kickstarter,Reaper Miniatures Bones II,81,[131]
18,"$3,142,808","Nov 11, 2012",$3.1M,Video game,"Racing simulation video game by Slightly Mad Studios due to be released in November 2014. Note that Slightly Mad Studios themselves also contributed $2,072,400 to the overall funding for the game, amount raised is the total of public funding only.",World of Mass Development,Project CARS,82,[132]
19,"$3,121,716","Nov 3, 2016",$2.75M,Video Game,Next iteration in the Wasteland franchise.,Fig,Wasteland 3,83,[133]
20,"$3,105,473","May 24, 2013",$2M,Movie,Comedy drama film directed by Zach Braff and co-written with Adam J. Braff. Opening in Theaters 18 July 2014.,Kickstarter,Wish I Was Here,84,[134] [135]
21,"$2,996,286.08",early 2016,$250K,Video game,"A turn-based strategy video game by Harebrained Schemes set in the Battletech universe. Total includes $2,785,537.13 raised on Kickstarter (with an additional $79,850 raised through Paypal during the campaign) and $130,898.95 raised in BackerKit as of December 19, 2015. The Kickstarter campaign ended on November 3, 2015.","Kickstarter, BackerKit",Battletech,85,[136]
22,"$2,945,885","Oct 26, 2012",$100K,3D printing,Stereolithography (SLA) 3D printer created by Formlabs. High-resolution printing with plastic resin that creates layers as thin as 25 microns. Shipping began in May 2013.,Kickstarter,FORM 1,86,[137]
23,"$2,933,252","Apr 17, 2012",$900K,Video game,"Role-playing video game. Sequel to 1988's Wasteland, by members of the original team.",Kickstarter,Wasteland 2,87,[138]
24,"$2,930,781","Nov 22, 2014",$250K,Computing hardware,The latest fusion of fashion and functionality with external cat ear speakers and LED lights.,Indiegogo,Axent Wear Cat Ear Headphones,88,[139]
25,"$2,835,482",2016-08-01,,Other,Real estate,Tessin,Växande hyresbestånd i centrala lägen,89,
26,"$2,778,019","Aug 27, 2015",$150K,Computing hardware,Opal is an icemaker designed for the enthusiasts: people who drop by their favorite restaurant on the weekend to pick up a bag of that special soft ice,Indiegogo,Opal Nugget Ice Maker,90,[140]
27,€2.499.500 (legal limit),"October 27, 2015",€1M,Food,On October 4 a campaign was started to raise money for the Vegetarian Butcher plant-based plant in Breda. Bonds were issued at a value of €500 each. €2.5 M bonds were sold in three weeks.,NPEX,The Vegetarian Butcher Plant-Based Plant,91,[141]
28,"$2,762,571","Jun 15, 2014",$200K,Computing hardware,"A tiny spectrometer (molecular sensor) that allows one to receive instant relevant information about the chemical make-up of food, medicine, and plants, sent directly to one's smartphone.",Kickstarter,SCiO: Your Sixth Sense,92,[142]
29,"$2,600,000",Feb 2012,$1M,Other,"Parcel Genie raised enough funds to create a new gift delivery service, allowing customers to send gifts to family and friends without having to enter their address. The recipient receives a notification and arranges for the gift to be delivered to whatever address they enter.",Angels Den,Parcel Genie,93,[143]
30,"$2,532,211","Aug 29, 2014",$1M,Food,"Stone Brewing Co. will open a brewery in Berlin, Germany and partially fund expansion by pre-selling beer from the Berlin brewery. The beer will be collaborations with other established breweries, released between late 2015 and 2017, and only available from the pre-sale.",Indiegogo,Stone Groundbreaking Collaborations,94,[144]
31,"$2,506,418","Dec 9, 2014",$380K,Computing hardware,"Tablet powered with the MeeGo-based Linux Sailfish OS. It hit the goal for 380k in 2h15min. It reached the $1 million milestone by selling 4,467 tablets in less than 37 hours.",Indiegogo,Jolla Tablet,95,[145]
32,"$2,485,506","Oct 4, 2012",$700K,Video game,Adventure game based on the Homestuck webcomic. Succeeded The Order of the Stick as the highest funded comic-related Kickstarter project.,Kickstarter,Homestuck Adventure Game,96,[146][147]
33,"$2,480,334","Jul 6, 2014",$650K,Movie,"Rooster Teeth, the company behind Red vs. Blue, Achievement Hunter, and RWBY, in their first feature-length movie tell the story of an extraterrestrial intelligence project that received a one-time signal from outer space. This is a live action sci-fi comedy that takes place decades later in the aftermath of that event. Lazer Team is the highest successfully funded film project on Indiegogo.",Indiegogo,Lazer Team,97,[148]
34,"$2,437,429","Sep 1, 2012",$250K,Video game,"Virtual reality head-mounted display designed for gaming.  The campaign video featured support from Michael Abrash, Mark Bolas, John Carmack, Cliff Bleszinski, David Helgason, Jack McCauley, Gabe Newell, Chris Roberts and Tim Sweeney.  Development units began shipping in March 2013. Sold to Facebook for $2 billion in March 2014.",Kickstarter,Oculus Rift,98,[149][150]
35,"$2,413,756",Ongoing,$300K,Video game,"Open-world sandbox medieval RPG video game from Warhorse Studios lead designer Dan Vavra, writer and director of Mafia: The City of Lost Heaven. Set in the 15th century medieval Kingdom of Bohemia with a focus on historically accurate and realistic content. The game will be a single-player experience with branching quest lines and a highly interactive world encouraging emergent gameplay.","Kickstarter, independent",Kingdom Come: Deliverance,99,
36,"$2,344,134","Mar 25, 2013",$30K,3D printing,3D printing pen developed by Peter Dilworth and Maxwell Bogue of WobbleWorks LLC.,Kickstarter,3Doodler,100,[151]
37,"$2,278,255","Jun 7, 2013",$300K,Video game,MMO fantasy trading card game.,Kickstarter,Hex: Shards of Fate,101,[152][153]
38,"$2,269,158","Dec 3, 2015",$100K,Camera Gear,Ultra-Portable camera drone. Snap-together in 1 Minute. Capture Stunning Aerial Film & Photos with Ease!,Indiegogo,PlexiDrone Camera Drone,102,[154]
39,"$2,241,043","May 12, 2014",$2.1M,Movie,Film about abortion doctor Kermit Gosnell who was convicted of 3 counts of first degree murder and one count of involuntary manslaughter and is currently serving a sentence of life in prison without the possibility of parole.,Indiegogo,Gosnell: The Trial of America's Biggest Serial Killer,103,[155]
40,"$2,232,933","May 2, 2013",$2M,Video game,Realm versus realm MMORPG.  The success of the Kickstarter allowed City State Entertainment to secure an additional $3M of private funding.,Kickstarter,Camelot Unchained',104,[156][157]
41,"$2,229,344","Sep 14, 2012",$900K,Video game,Real-time strategy video game by members of the Total Annihilation team.,Kickstarter,Planetary Annihilation,105,[158]
42,"$2,200,961","Jun 20, 2014",$1M,Computing hardware,"Solar panels that you can drive, park, and walk on. They melt snow and... cut greenhouse gases by 75-percent?!!!",Indiegogo,Solar Roadways,106,[159]
43,"$2,121,650","Dec 1, 2014",$50K,Computing hardware,"Bluesmart Inc. created the world's first smart, connected carry-on luggage featuring location tracking, remote lock and battery charger.",Indiegogo,Bluesmart Inc.,107,[160]
44,"$2,100,000","Apr 20, 2013",$100K,Food,The success of the campaign allowed the team to secure an additional $1.5M of private funding.[161],Tilt.com,Soylent (drink),108,[162]
45,"$2,071,927","Jun 6, 2015",$50K,Computing hardware,"A computer with a 1 GHz processor, 512MB RAM, and 4GB onboard storage. It was successfully funded in its first 6 hours. It is the size of a payment card.",Kickstarter,CHIP - The World's First 9 Dollar Computer,109,[163]
